0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:16 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:18 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:18 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:18 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:18 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:19 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:19 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:20 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:21 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:21 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:58:21 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:38:30 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=4 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:38:30 -0700] "GET /Checkerboard/style.css HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:38:47 -0700] "GET /Checkerboard/checkerboard.jsp?width=10&height=10 HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:38:47 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:40:26 -0700] "GET /Checkerboard/checkerboard.jsp?width=7&height=10 HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [08/Sep/2018:17:40:26 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
